Name ,lon,lat
Mines International Exhibition & Convention Centre,-81.1961532,37.7843972
MINES International Exhibition & Convention Centre (MIECC),101.7181582,3.0297599
Multi-Storey Car Park Kapit,112.9402001,2.0159151
National Stadium Bukit Jalil,101.69134,3.0546349
Orion Clinic,101.6361417,2.9212455
Pejabat Daerah Lingga,111.1719133,1.3521946
Persada Johor International Convention Centre (Persada Johor),103.7615737,1.4615265
Poliklinik Medi Ihsan,101.1863297,3.4185167
Pusat Jantung Sarawak,110.4190451,1.4809232
Pusat Sains dan Kreativiti,103.1517093,5.2697017
Pusat Sivik Gua Musang,101.9616132,4.8699952
Rumah Rehat Song,-83.6036342,35.8345115
Sabah International Convention Center,116.0843276,5.9974508
Seberang Perai Arena Convention Centre,100.4014628,5.3869912
Setia City Convention Centre (SCCC),101.4629523,3.109878
SKJC Chung Hua No 1,110.347767,1.551792
Stadium Indera Mulia,101.1019742,4.6102299
Stadium Perpaduan Dalat,111.9450335,2.7431346
Stadium Perpaduan Kuching,110.3555337,1.5877218
Stadium Tertutup Gong Badak,103.1029773,5.3681342
Stadium Tertutup Kuala Selangor,101.2542419,3.3189475
Stadium Tertutup Samarahan,110.4928839,1.470349
Stadium Tertutup Sultan Abdul Halim,100.3653387,6.1505639
Stadium Titiwangsa,101.7066358,3.1756659
Stadium Tun Abdul Razak,102.5477848,3.7720871
Subterranean Penang International Convention & Exhibition Centre (SPICE),100.2880568,5.3329645
