Name,Address,Province,lon,lat
Sobeys Pharmacy Stellard Lane,N3T 1M2,Ontario,-80.2938005,43.1306173
University Pharmacy,N3T 2G6,Ontario,-80.2646265,43.1387059
Wal-Mart Pharmacy,N3R 5L7,Ontario,-80.2802162,43.1825706
Wincare Drug Mart,N3R 4N3,Ontario,-80.2747297,43.1551767
Zehrs Markets,N3R 5L8,Ontario,-80.2802162,43.1825706
Zehrs Markets,N3R 7N7,Ontario,-80.2793454,43.1754476
Brechin Pharmacy,L0K 1B0,Ontario,-79.2137699,44.5593438
Breslau Commons Pharmacy,N0B 1M0,Ontario,-80.3992652,43.4923114
Breslau Pharmacy & Wellness Centre,N0B 1M0,Ontario,-80.3992652,43.4923114
Brighton Remedy's Rx,K0K 1H0,Ontario,-77.7680952,44.0616872
Rexall Pharma Plus,K0K 1H0,Ontario,-77.7680952,44.0616872
Bright's Grove Family Pharmacy,N0N 1C0,Ontario,-82.2637616,43.0052721
Parkedale Pharmacy,K6V 6B2,Ontario,-75.6924668,44.6083086
Real Canadian Superstore,K6V 5T2,Ontario,-75.66796,44.7044455
Rexall,K6V 4B5,Ontario,-75.6874446,44.5925691
Shoppers Drug Mart,K6V 3R3,Ontario,-75.6865588,44.5889215
Shoppers Drug Mart,K6V 3G9,Ontario,-75.6980694,44.6038665
Wal-Mart Pharmacy,K6V 7N4,Ontario,-75.6877727,44.6140457
Medical Centre Pharmacy,L1M 2E9,Ontario,-78.9463251,43.9560724
Shoppers Drug Mart,L1M 2J7,Ontario,-78.9609951,43.9520553
Brussels Pharmacy,N0G 1H0,Ontario,-81.2408689,43.7316749
Brant Arts Dispensary,L7R 2H3,Ontario,-79.8056849,43.3306269
Brant Lakeshore Pharmacy,L7S 1B5,Ontario,-79.7966654,43.3245136
Costco Pharmacy,L7P 1X7,Ontario,-79.8265228,43.3454899
Food Basics Pharmacy,L7N 3N9,Ontario,-79.7858932,43.3549835
Fortinos,L7T 4K1,Ontario,-79.8289739,43.326291
Fortinos,L7L 1V2,Ontario,-79.7529556,43.3693322
Fortinos,L7L 0B6,Ontario,-79.8051595,43.4065572
Fortinos,L7P 4M8,Ontario,-79.8219704,43.3662843
Harvester Pharmacy,L7N 3N2,Ontario,-79.7907978,43.3596048
LSV Pharmacy,L7L 1S8,Ontario,-79.7690755,43.354664
Medpro Health Pharmacy,L7M 0W8,Ontario,-79.8141782,43.4105733
Metro Pharmacy,L7L 6M6,Ontario,-79.7939506,43.3936166
Millcroft Pharmacy,L7L 0A2,Ontario,-79.8069108,43.4052229
Morelli's Pharmacy,L7M 4M8,Ontario,-79.8216202,43.3898336
Mount Royal Pharmacy Ltd,L7P 1H4,Ontario,-79.8284487,43.3470065
Mountainside Pharmacy,L7M 4W5,Ontario,-79.8060352,43.3784376
Pharmasave Wincare Pharmacy & Comp,L7M 2A3,Ontario,-79.836152,43.3757641
Plains Road West Pharmacy,L7T 1E8,Ontario,-79.8559325,43.3050908
Rexall,L7P 4M7,Ontario,-79.8365022,43.3743028
Rexall,L7P 3N8,Ontario,-79.8421041,43.3568895
Rexall,L7L 1V2,Ontario,-79.7529556,43.3693322
Shoppers Drug Mart,L7S 2J8,Ontario,-79.8205696,43.3255381
Shoppers Drug Mart,L7M 4C6,Ontario,-79.8076113,43.3790268
Shoppers Drug Mart,L7M 3Z5,Ontario,-79.8091874,43.3730491
Shoppers Drug Mart,L7R 3N2,Ontario,-79.7939506,43.3482421
Shoppers Drug Mart,L7P 0A1,Ontario,-79.8442048,43.3576747
Shoppers Drug Mart,L7L 1C8,Ontario,-79.7324511,43.3682261
Shoppers Drug Mart,L7T 2E2,Ontario,-79.8372024,43.3188098
Shoppers Drug Mart,L7M 0W3,Ontario,-79.8244555,43.3932804
Shoppers Drug Mart,L7M 0V7,Ontario,-79.8097128,43.4084575
Shoppers Drug Mart,L7L 6M6,Ontario,-79.7939506,43.3936166
Shoppers Drug Mart,L7L 2X8,Ontario,-79.751729,43.3654901
Shoppers Drug Mart,L7R 1K3,Ontario,-79.7858932,43.3394535
Shoppers Simply Pharmacy,L7M 4Y1,Ontario,-79.8217953,43.391789
Silver Fox Pharmacy,L7L 5Z1,Ontario,-79.7743314,43.390658
Sobeys Pharmacy,L7P 1X8,Ontario,-79.8286238,43.3438859
St. George Pharmacy,L7L 1C7,Ontario,-79.7342038,43.3665936
St. Mary Pharmacy,L7L 7B3,Ontario,-79.7829153,43.4020223
Total Health Pharmacy,L7N 3V2,Ontario,-79.7976287,43.354396
Total Health Pharmacy,L7S 1A8,Ontario,-79.8023574,43.3107553
Wal-Mart Pharmacy,L7R 0B4,Ontario,-79.8119018,43.3367862
Wal-Mart Pharmacy,L7M 5B4,Ontario,-79.8107635,43.4070602
Calabogie Pharmacy,K0J 1H0,Ontario,-76.731971,45.2242461
Pharmasave,L7C 1H9,Ontario,-79.8652086,43.8690668
Southfields Pharmasave Pharmacy,L7C 3T6,Ontario,-79.8281474,43.7565618
Drugstore Pharmacy,N3W 1K8,Ontario,-79.9587893,43.0636839
Rexall,N3W 1K7,Ontario,-79.95809,43.0648239
Shoppers Drug Mart,N3W 1K7,Ontario,-79.95809,43.0648239
Bishop Pharmacy Pharmachoice,N3H 3R6,Ontario,-80.344461,43.3893375
Cambridge Medical Pharmacy,N3H 3P6,Ontario,-80.3524663,43.3924068
Coronation Medical Pharmacy,N1R 7J9,Ontario,-80.3238349,43.3767539
Emerald Pharmacy,N1R 3H2,Ontario,-80.3194827,43.378923
Food Basics Pharmacy,N1R 3B5,Ontario,-80.3146951,43.3624538
Forbes Park Pharmacy,N3C 2E2,Ontario,-80.3068602,43.4297317
Franklin Pharmacy,N1R 7J2,Ontario,-80.3066861,43.4003099
Freshco Pharmacy,N1R 8L4,Ontario,-80.3174807,43.3740467
Grand Pharmacy,N1S 1P3,Ontario,-80.3322774,43.3437727
Hespeler Pharmacy,N3C 4B3,Ontario,-80.3091237,43.4175371
Highland Plaza IDA,N1R 6G5,Ontario,-80.2899693,43.3594479
Langs Medical Pharmacy,N3H 4L5,Ontario,-80.3432427,43.3977468
Med Health Pharmacy,N1R 3E8,Ontario,-80.3235737,43.37591
Myers Pharmacy,N1R 5S2,Ontario,-80.1930859,43.3457506
Parkway Pharmacy,N3H 5E8,Ontario,-80.376043,43.3988108
Preston Medical Pharmacy,N3H 1N3,Ontario,-80.361254,43.3966619
Rexall,N1R 7L7,Ontario,-80.3174807,43.3943608
Shoppers Drug Mart,N1S 1W4,Ontario,-80.3276646,43.3519755
Shoppers Drug Mart,N1R 3B8,Ontario,-80.3152174,43.3650385
Shoppers Drug Mart,N1R 6J2,Ontario,-80.3233997,43.3969555
Shoppers Drug Mart,N1R 8R3,Ontario,-80.3034649,43.3947341
Shoppers Drug Mart,N3C 1Z3,Ontario,-80.3244441,43.4188422
Shoppers Drug Mart,N1R 5T8,Ontario,-80.3043355,43.3750925
