Site.Name,Add,Site...GP.NHS.VHC.Covid.Clinic,Region,lon,lat
OHS Covid Clinic C,FK5 4WR,Covid-19 Vaccination Clinic,Forth Valley,-3.8480021,56.0251154
LC Covid Clinic A,FK5 4WR,Covid-19 Vaccination Clinic,Forth Valley,-3.8480021,56.0251154
LC Covid Clinic B,FK5 4WR,Covid-19 Vaccination Clinic,Forth Valley,-3.8480021,56.0251154
LC Covid Clinic C,FK5 4WR,Covid-19 Vaccination Clinic,Forth Valley,-3.8480021,56.0251154
LC Covid Clinic D,FK5 4WR,Covid-19 Vaccination Clinic,Forth Valley,-3.8480021,56.0251154
TRYST MEDICAL CENTRE,FK5 4HT,Primary Care Delivery Site,Forth Valley,-3.8113634,56.0274298
ABERFOYLE & BUCHLYVIE MEDICAL CENTRES,FK8 3NB,Primary Care Delivery Site,Forth Valley,-4.297829,56.1162766
ALLAN PARK MEDICAL PRACTICE,FK8 2QD,Primary Care Delivery Site,Forth Valley,-3.9393723,56.1158761
TOR MEDICAL GROUP,FK7 8DW,Primary Care Delivery Site,Forth Valley,-3.8750342,56.0646692
ANTONINE MEDICAL PRACTICE,FK4 1ED,Primary Care Delivery Site,Forth Valley,-3.8930261,56.003718
ARK MEDICAL PRACTICE,FK1 1BA,Primary Care Delivery Site,Forth Valley,-3.7843481,55.99772
BALFRON HEALTH CENTRE,G63 0TS,Primary Care Delivery Site,Forth Valley,-4.336024,56.0680619
BONNYBANK MEDICAL PRACTICE,FK4 1ED,Primary Care Delivery Site,Forth Valley,-3.8930261,56.003718
BRAESVIEW MEDICAL GROUP,FK2 0XF,Primary Care Delivery Site,Forth Valley,-3.7218321,55.9873945
BRIDGE OF ALLAN HEALTH CENTRE,FK9 4EU,Primary Care Delivery Site,Forth Valley,-3.947881,56.1531174
CAMELON MEDICAL PRACTICE,FK1 4PP,Primary Care Delivery Site,Forth Valley,-3.8144649,56.0028872
CARRON MEDICAL CENTRE,FK2 7TA,Primary Care Delivery Site,Forth Valley,-3.7925801,56.0158246
CARRONBANK MEDICAL PRACTICE,FK6 6GD,Primary Care Delivery Site,Forth Valley,-3.9079875,56.0248035
DENNY CROSS MEDICAL CENTRE,FK6 6DB,Primary Care Delivery Site,Forth Valley,-3.9088695,56.0228398
DOLLAR HEALTH CENTRE,FK14 7AA,Primary Care Delivery Site,Forth Valley,-3.6700852,56.1622797
WESTBURN MEDICAL PRACTICE,FK1 5SU,Primary Care Delivery Site,Forth Valley,-3.7926479,55.9986148
DRYMEN HEALTH CENTRE,G63 0DP,Primary Care Delivery Site,Forth Valley,-4.4517706,56.0670738
DUNBLANE MEDICAL PRACTICE,FK15 9AL,Primary Care Delivery Site,Forth Valley,-3.9700036,56.1877143
EDENKILN SURGERY,G63 9EG,Primary Care Delivery Site,Forth Valley,-4.3057883,55.9841493
FALLIN HEALTH CENTRE,FK7 7JD,Primary Care Delivery Site,Forth Valley,-3.8759794,56.1046076
CALLANDER MEDICAL PRACTICE,FK17 8LX,Primary Care Delivery Site,Forth Valley,-4.1994531,56.2380516
FORTHVIEW PRACTICE,EH51 0DQ,Primary Care Delivery Site,Forth Valley,-3.6136753,56.0120325
KILLEARN HEALTH CENTRE,G63 9NA,Primary Care Delivery Site,Forth Valley,-4.3723121,56.0457365
KINGLASS MEDICAL PRACTICE,EH51 9UE,Primary Care Delivery Site,Forth Valley,-3.601054,56.008989
KIPPEN SURGERY,FK8 3DZ,Primary Care Delivery Site,Forth Valley,-4.1726218,56.125257
MEEKS ROAD SURGERY,FK2 7ES,Primary Care Delivery Site,Forth Valley,-3.7866218,56.0031956
OCHILVIEW PRACTICE,FK5 3BB,Primary Care Delivery Site,Forth Valley,-3.8182638,56.0250367
